EmployeeNumber,Attrition,Department,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance
81,No,Research & Development,25,3,1,1,3,3,Sales Executive,1,7,No,11,3,4,80,0,28,3,2
83,No,Research & Development,8,3,1,3,3,3,Healthcare Representative,3,1,No,13,3,2,80,3,17,2,3
84,No,Research & Development,8,3,1,4,3,4,Manager,3,2,Yes,14,3,3,80,3,21,2,3
85,No,Research & Development,11,3,1,2,2,2,Manufacturing Director,2,1,No,13,3,3,80,0,6,3,3
86,No,Research & Development,7,3,1,2,3,3,Research Scientist,1,2,No,17,3,3,80,1,25,2,3
88,No,Research & Development,1,3,1,2,3,1,Research Scientist,1,4,No,13,3,4,80,1,5,2,2
90,Yes,Research & Development,9,3,1,4,2,1,Research Scientist,3,0,Yes,17,3,1,80,1,2,0,2
91,No,Research & Development,1,1,1,1,2,2,Sales Executive,3,7,No,11,3,4,80,0,20,2,2
94,No,Research & Development,2,3,1,3,3,1,Research Scientist,2,0,No,23,4,4,80,1,6,3,3
95,No,Research & Development,1,4,1,3,3,1,Research Scientist,2,1,No,17,3,2,80,0,1,4,3
96,No,Research & Development,1,3,1,2,3,2,Research Scientist,2,1,No,17,3,2,80,2,10,3,3
97,No,Research & Development,6,3,1,2,4,1,Laboratory Technician,4,3,No,12,3,2,80,0,5,3,3
98,No,Research & Development,8,4,1,3,3,2,Manufacturing Director,4,1,No,23,4,4,80,0,11,2,3
100,No,Research & Development,1,4,1,3,2,2,Sales Executive,1,0,No,14,3,2,80,0,16,2,3
101,No,Research & Development,6,4,1,4,3,3,Research Director,1,4,Yes,14,3,2,80,0,17,3,4
102,No,Research & Development,7,4,1,1,3,3,Research Director,3,4,No,13,3,1,80,0,16,3,4
103,No,Research & Development,5,2,1,2,3,2,Human Resources,2,8,Yes,22,4,4,80,1,16,2,3
104,No,Research & Development,1,1,1,4,2,2,Laboratory Technician,4,1,Yes,12,3,3,80,2,10,1,2
105,No,Research & Development,1,3,1,2,2,1,Research Scientist,3,1,No,18,3,1,80,0,6,3,3
106,No,Research & Development,1,2,1,1,3,3,Sales Executive,4,3,No,14,3,4,80,1,24,4,3
107,No,Research & Development,6,3,1,2,1,2,Research Scientist,4,7,Yes,12,3,4,80,3,17,3,3
110,No,Research & Development,1,2,1,1,3,2,Manufacturing Director,2,1,No,15,3,3,80,0,5,2,3
112,No,Research & Development,7,3,1,4,1,3,Manufacturing Director,4,4,No,11,3,1,80,0,37,3,2
113,No,Research & Development,2,1,1,3,3,1,Sales Representative,1,3,No,13,3,3,80,1,3,3,3
116,No,Research & Development,9,4,1,4,3,1,Laboratory Technician,4,3,No,23,4,2,80,2,10,4,3
117,No,Research & Development,2,3,1,3,2,2,Healthcare Representative,4,1,No,19,3,1,80,3,11,3,3
118,Yes,Research & Development,9,2,1,3,2,3,Sales Executive,4,1,No,16,3,4,80,0,9,3,3
119,No,Research & Development,1,4,1,3,2,4,Healthcare Representative,2,1,No,22,4,4,80,1,22,3,2
120,No,Research & Development,21,4,1,3,3,2,Sales Executive,4,0,Yes,22,4,4,80,0,11,2,1
121,No,Research & Development,4,2,1,3,2,2,Sales Executive,2,1,Yes,12,3,2,80,3,11,4,2
124,No,Research & Development,1,3,1,3,2,3,Healthcare Representative,1,2,Yes,13,3,3,80,1,21,5,2
125,No,Research & Development,6,4,1,2,3,2,Sales Executive,3,1,No,16,3,1,80,0,12,0,3
126,No,Research & Development,2,4,1,1,3,3,Research Director,3,9,No,12,3,1,80,1,16,5,1
128,No,Research & Development,3,2,1,1,3,2,Sales Executive,3,0,No,21,4,1,80,1,4,2,2
129,No,Research & Development,4,3,1,2,3,2,Sales Executive,3,1,No,15,3,2,80,0,5,3,4
131,No,Research & Development,10,4,1,4,3,4,Sales Executive,3,0,No,13,3,3,80,0,38,1,2
132,No,Research & Development,23,3,1,2,3,2,Laboratory Technician,2,4,No,12,3,3,80,1,17,3,4
133,Yes,Research & Development,6,4,1,3,3,1,Human Resources,1,4,Yes,22,4,4,80,0,7,3,3
134,No,Research & Development,1,1,1,4,3,1,Research Scientist,1,1,No,13,3,4,80,0,1,2,3
137,Yes,Research & Development,6,3,1,4,2,1,Laboratory Technician,4,1,Yes,18,3,2,80,0,1,5,3
138,No,Research & Development,6,4,1,1,3,2,Research Scientist,3,1,No,14,3,3,80,0,16,3,3
139,No,Research & Development,2,2,1,3,2,2,Healthcare Representative,4,5,No,14,3,4,80,1,17,2,4
140,No,Research & Development,2,4,1,3,2,5,Manager,4,9,No,21,4,4,80,1,30,3,3
141,No,Research & Development,1,3,1,1,3,5,Research Director,2,3,Yes,19,3,1,80,0,28,1,2
142,Yes,Research & Development,5,3,1,3,2,2,Sales Executive,3,1,Yes,11,3,4,80,0,6,1,3
143,No,Research & Development,7,1,1,4,2,1,Research Scientist,4,1,No,11,3,3,80,2,2,2,3
144,No,Research & Development,15,3,1,2,3,1,Laboratory Technician,4,1,No,15,3,3,80,0,1,5,3
145,No,Research & Development,1,4,1,1,2,3,Healthcare Representative,1,3,No,20,4,3,80,0,23,1,2
147,Yes,Research & Development,7,3,1,1,1,2,Laboratory Technician,3,1,Yes,24,4,4,80,0,9,3,3
148,No,Research & Development,26,3,1,4,4,4,Manager,4,2,Yes,12,3,3,80,0,23,3,3
150,No,Research & Development,18,1,1,2,3,1,Laboratory Technician,3,0,No,12,3,3,80,1,6,2,3
151,No,Research & Development,6,4,1,3,2,2,Research Scientist,2,6,No,15,3,3,80,1,12,3,3
152,No,Research & Development,3,3,1,3,3,3,Sales Executive,4,2,No,12,3,1,80,0,12,3,3
153,No,Research & Development,5,3,1,3,2,3,Manager,1,2,No,12,3,4,80,0,14,6,3
154,No,Research & Development,11,2,1,2,3,3,Sales Executive,4,0,No,14,3,3,80,1,10,6,3
155,No,Research & Development,3,2,1,1,3,1,Laboratory Technician,4,5,No,22,4,1,80,1,7,2,3
158,No,Research & Development,26,2,1,3,3,4,Manager,4,1,Yes,12,3,4,80,2,25,3,4
159,No,Research & Development,23,3,1,1,1,1,Research Scientist,3,1,No,25,4,3,80,3,10,2,2
160,No,Research & Development,22,2,1,3,3,2,Sales Executive,2,0,No,13,3,1,80,1,8,2,4
161,Yes,Research & Development,14,4,1,2,3,1,Research Scientist,2,9,Yes,18,3,1,80,3,7,2,3
162,No,Research & Development,6,3,1,1,3,5,Research Director,3,7,No,13,3,3,80,0,23,5,3
163,Yes,Research & Development,6,4,1,2,1,2,Sales Executive,3,4,Yes,18,3,2,80,0,12,3,2
164,No,Research & Development,6,3,1,3,2,1,Research Scientist,2,1,No,19,3,3,80,0,5,3,2
165,Yes,Research & Development,23,4,1,4,3,3,Healthcare Representative,4,1,No,12,3,4,80,1,40,3,2
167,Yes,Research & Development,22,1,1,4,3,1,Sales Representative,3,1,Yes,19,3,4,80,0,0,2,2
169,No,Research & Development,2,1,1,3,3,1,Laboratory Technician,4,0,No,14,3,3,80,1,3,2,3
170,No,Research & Development,20,4,1,3,3,2,Manufacturing Director,1,1,No,14,3,3,80,0,16,2,2
171,No,Research & Development,28,3,1,2,4,1,Research Scientist,3,4,No,12,3,4,80,0,18,2,3
174,No,Research & Development,12,3,1,3,3,3,Sales Executive,4,4,No,11,3,4,80,0,16,3,3
175,Yes,Research & Development,20,3,1,2,1,2,Sales Executive,3,3,Yes,11,3,3,80,1,4,2,3
176,No,Research & Development,9,1,1,3,3,3,Sales Executive,3,3,Yes,13,3,3,80,1,12,2,3
177,No,Research & Development,25,1,1,3,3,1,Human Resources,3,1,No,23,4,4,80,1,8,3,3
178,No,Research & Development,6,2,1,2,3,2,Manufacturing Director,2,6,No,20,4,4,80,2,7,0,3
179,Yes,Research & Development,8,4,1,1,1,3,Manufacturing Director,4,2,No,15,3,4,80,0,18,2,3
182,No,Research & Development,4,4,1,4,2,2,Sales Executive,3,4,No,14,3,3,80,1,17,1,4
183,No,Research & Development,28,3,1,1,2,2,Sales Executive,3,2,No,18,3,4,80,0,6,3,3
184,No,Research & Development,9,3,1,3,3,2,Human Resources,4,0,Yes,19,3,4,80,0,12,2,1
190,Yes,Research & Development,9,3,1,1,3,1,Laboratory Technician,1,7,No,22,4,1,80,0,10,2,4
192,No,Research & Development,29,3,1,3,3,1,Research Scientist,4,5,No,13,3,2,80,0,9,2,2
193,No,Research & Development,3,5,1,4,3,2,Research Scientist,3,3,Yes,20,4,2,80,0,19,2,3
194,No,Research & Development,18,3,1,1,3,1,Research Scientist,3,1,No,14,3,3,80,0,5,4,2
195,No,Research & Development,9,2,1,4,1,2,Sales Executive,4,0,No,17,3,4,80,3,9,2,4
197,No,Research & Development,5,3,1,4,3,1,Research Scientist,1,5,No,14,3,4,80,1,8,3,3
198,No,Research & Development,2,1,1,2,2,1,Laboratory Technician,4,0,No,13,3,4,80,0,6,3,3
199,No,Research & Development,10,3,1,4,2,4,Manager,1,4,No,13,3,2,80,1,21,2,2
200,No,Research & Development,9,4,1,3,3,1,Laboratory Technician,1,2,No,21,4,4,80,1,7,2,3
201,No,Research & Development,3,1,1,2,3,1,Laboratory Technician,2,1,No,14,3,4,80,0,1,3,3
202,No,Research & Development,26,3,1,2,3,2,Research Scientist,2,1,No,11,3,1,80,1,20,2,3
204,No,Research & Development,1,5,1,3,3,3,Sales Executive,2,1,No,13,3,1,80,2,10,3,3
205,No,Research & Development,6,2,1,2,3,2,Sales Representative,3,2,Yes,20,4,4,80,1,13,3,1
206,No,Research & Development,9,3,1,2,3,2,Laboratory Technician,2,8,No,18,3,3,80,1,20,2,1
207,No,Research & Development,8,3,1,2,3,3,Sales Executive,4,1,No,14,3,4,80,0,9,2,3
208,No,Research & Development,1,1,1,4,3,2,Manufacturing Director,3,1,No,13,3,1,80,1,10,1,3
211,No,Research & Development,7,4,1,2,2,2,Manufacturing Director,3,2,No,17,3,3,80,0,10,2,3
214,No,Research & Development,9,3,1,2,2,1,Research Scientist,2,4,Yes,20,4,2,80,1,9,3,2
215,No,Research & Development,4,4,1,3,2,3,Sales Executive,4,7,No,11,3,1,80,1,15,2,2
216,No,Research & Development,2,4,1,3,3,1,Sales Representative,3,6,No,18,3,4,80,1,6,3,3
217,No,Research & Development,19,1,1,3,3,1,Research Scientist,4,1,No,24,4,1,80,2,2,6,3
218,No,Research & Development,9,3,1,4,3,1,Research Scientist,2,6,No,18,3,4,80,1,6,1,1
221,No,Research & Development,21,3,1,3,3,1,Research Scientist,4,1,No,11,3,3,80,1,5,2,1
223,No,Research & Development,24,2,1,3,4,3,Healthcare Representative,4,3,Yes,16,3,2,80,1,12,2,1
224,No,Research & Development,3,3,1,3,2,1,Research Scientist,3,1,Yes,15,3,4,80,1,1,2,2
226,No,Research & Development,11,3,1,3,3,5,Manager,2,3,No,15,3,2,80,0,21,5,3
227,No,Research & Development,14,3,1,1,3,1,Research Scientist,3,4,No,12,3,1,80,1,13,2,3
228,No,Research & Development,5,3,1,2,3,3,Sales Executive,4,2,No,12,3,3,80,1,12,2,3
230,No,Research & Development,1,4,1,1,2,2,Sales Executive,4,4,No,22,4,3,80,0,12,2,4
231,No,Research & Development,6,5,1,3,3,1,Research Scientist,3,3,No,20,4,1,80,0,8,2,3
233,No,Research & Development,17,3,1,3,3,1,Research Scientist,2,0,Yes,16,3,4,80,1,6,3,2
235,Yes,Research & Development,1,1,1,3,1,1,Sales Representative,1,0,No,21,4,1,80,0,1,5,4
238,No,Research & Development,3,2,1,4,3,1,Laboratory Technician,2,4,No,12,3,3,80,0,13,3,2
239,No,Research & Development,9,3,1,3,3,2,Laboratory Technician,1,1,No,11,3,3,80,2,12,4,3
240,No,Research & Development,4,2,1,3,3,2,Sales Executive,1,4,Yes,11,3,1,80,1,9,3,4
241,No,Research & Development,8,3,1,3,3,1,Research Scientist,1,4,Yes,18,3,3,80,1,19,3,3
242,No,Research & Development,2,3,1,3,3,1,Research Scientist,4,0,No,14,3,1,80,0,4,2,4
243,Yes,Research & Development,2,3,1,2,2,1,Laboratory Technician,4,1,No,22,4,3,80,0,1,3,2
244,No,Research & Development,1,2,1,2,3,3,Sales Executive,1,1,No,25,4,3,80,3,24,2,3
245,No,Research & Development,9,2,1,3,3,1,Laboratory Technician,4,1,No,12,3,3,80,0,2,3,3
246,No,Research & Development,12,1,1,3,3,1,Research Scientist,4,8,Yes,23,4,3,80,1,7,0,3
247,No,Research & Development,27,2,1,4,3,1,Research Scientist,2,2,No,15,3,4,80,0,9,3,3
248,Yes,Research & Development,20,2,1,2,3,1,Sales Representative,2,1,Yes,22,4,4,80,0,4,5,2
249,No,Research & Development,1,3,1,3,2,1,Laboratory Technician,3,2,No,15,3,4,80,1,5,2,2
250,No,Research & Development,13,2,1,4,4,2,Manufacturing Director,1,1,No,11,3,3,80,2,5,3,3
252,No,Research & Development,14,3,1,4,3,1,Research Scientist,2,1,No,13,3,4,80,1,8,5,3
253,No,Research & Development,4,1,1,4,3,5,Manager,3,1,No,14,3,2,80,1,21,2,3
254,No,Research & Development,14,4,1,3,4,5,Research Director,2,8,No,11,3,4,80,0,36,3,3
256,No,Research & Development,2,1,1,4,2,2,Manufacturing Director,3,1,No,17,3,3,80,0,10,2,2
258,No,Research & Development,3,3,1,4,3,4,Healthcare Representative,2,3,No,18,3,3,80,0,21,6,3
259,No,Research & Development,1,4,1,3,2,5,Manager,3,0,No,14,3,1,80,1,34,5,3
260,No,Research & Development,9,3,1,4,3,1,Research Scientist,2,1,No,16,3,4,80,0,7,2,2
261,Yes,Research & Development,23,2,1,2,2,2,Manufacturing Director,3,3,Yes,13,3,1,80,0,8,1,3
262,No,Research & Development,7,3,1,4,4,1,Research Scientist,4,4,No,14,3,4,80,3,7,3,4
264,No,Research & Development,2,2,1,1,2,4,Manager,4,9,No,23,4,4,80,1,22,1,3
267,No,Research & Development,21,3,1,2,4,1,Research Scientist,1,1,Yes,12,3,1,80,1,8,3,2
269,No,Research & Development,2,3,1,2,3,2,Laboratory Technician,2,5,No,11,3,4,80,0,10,5,3
270,No,Research & Development,21,2,1,3,3,2,Manufacturing Director,3,2,No,16,3,2,80,1,11,5,3
271,No,Research & Development,2,4,1,4,3,2,Manufacturing Director,3,9,No,14,3,2,80,0,14,3,3
273,No,Research & Development,29,3,1,4,3,2,Manufacturing Director,4,3,No,18,3,1,80,1,9,3,1
274,No,Research & Development,1,1,1,3,2,2,Manufacturing Director,1,5,No,19,3,3,80,1,6,1,3
275,No,Research & Development,18,4,1,4,3,2,Manufacturing Director,4,1,Yes,15,3,1,80,2,7,0,3
277,No,Research & Development,10,4,1,4,3,1,Research Scientist,3,1,Yes,17,3,4,80,1,5,4,4
281,No,Research & Development,19,2,1,3,3,2,Laboratory Technician,4,8,Yes,15,3,3,80,1,15,2,4
282,Yes,Research & Development,29,1,1,2,3,2,Healthcare Representative,1,7,Yes,19,3,2,80,0,17,2,3
283,Yes,Research & Development,27,3,1,2,3,3,Sales Executive,4,1,No,22,4,4,80,3,10,3,2
284,No,Research & Development,5,3,1,4,4,1,Research Scientist,2,1,Yes,16,3,1,80,1,4,2,2
286,No,Research & Development,18,1,1,2,3,1,Laboratory Technician,4,1,No,13,3,1,80,0,8,2,3
287,No,Research & Development,9,5,1,4,2,2,Healthcare Representative,4,9,No,14,3,4,80,1,5,5,1
288,No,Research & Development,1,4,1,4,3,3,Healthcare Representative,1,7,No,16,3,3,80,1,17,3,3
291,Yes,Research & Development,4,4,1,4,1,3,Sales Executive,4,1,No,11,3,3,80,0,14,2,2
